count,word,pos
1272,s,CONJ
897,és,CONJ
855,nem,ADV
644,én,PRON
641,van,VERB
577,hogy,SCONJ
485,ha,SCONJ
479,mint,SCONJ
435,is,CONJ
383,de,CONJ
379,csak,ADV
337,lesz,VERB
314,már,ADV
288,az,PRON
276,mi,PRON
269,te,PRON
246,ő,PRON
228,meg,PART
215,nagy,ADJ
203,ki,ADV
198,szép,ADJ
194,ki,PRON
192,szív,NOUN
187,ne,ADV
185,most,ADV
185,még,ADV
181,tud,VERB
181,el,ADV
180,maga,PRON
179,úgy,ADV
178,ez,PRON
173,minden,PRON
169,szem,NOUN
166,ég,NOUN
159,ember,NOUN
156,mert,SCONJ
149,aki,PRON
146,szeret,VERB
143,itt,ADV
140,föld,NOUN
139,mely,PRON
137,vagy,CONJ
135,lát,VERB
127,lélek,NOUN
123,kell,VERB
121,is,ADV
119,jó,ADJ
118,jön,VERB
116,e,PRON
115,világ,NOUN
113,él,VERB
109,ó,INTJ
105,ott,ADV
104,néz,VERB
101,vár,VERB
100,se,ADV
100,kis,ADJ
96,majd,ADV
95,hát,ADV
90,sok,NUM
86,mint,ADV
86,kéz,NOUN
85,száll,VERB
85,áll,VERB
83,nincs,VERB
82,víz,NOUN
82,szó,NOUN
82,így,ADV
81,ad,VERB
78,két,NUM
77,vele,PRON
75,nagyon,ADV
75,föl,ADV
74,szél,NOUN
72,mond,VERB
72,fény,NOUN
72,élet,NOUN
71,ti,PRON
71,Isten,PROPN
70,hol,ADV
68,szerelem,NOUN
68,nap,NOUN
68,bús,ADJ
67,mikor,ADV
67,erős,ADJ
67,anya,NOUN
66,megy,VERB
66,arc,NOUN
65,meg,CONJ
65,más,PRON
65,fa,NOUN
64,vesz,VERB
64,szól,VERB
64,míg,ADV
63,lány,NOUN
63,fog,VERB
63,akkor,ADV
62,akar,VERB
60,csillag,NOUN
60,asszony,NOUN
59,ül,VERB
59,rá,PRON
59,idő,NOUN
58,vér,NOUN
58,tiszta,ADJ
58,lágy,ADJ
58,fej,NOUN
58,ér,VERB
57,haj,NOUN
57,ami,PRON
55,vágy,NOUN
55,oly,PRON
55,mindig,ADV
55,kenyér,NOUN
55,alszik,VERB
54,virág,NOUN
54,friss,ADJ
54,alatt,ADP
53,sír,VERB
53,közt,ADP
51,tűz,NOUN
51,tán,ADV
51,csók,NOUN
50,mind,CONJ
49,test,NOUN
49,hisz,VERB
49,hiába,ADV
49,álom,NOUN
48,meleg,ADJ
48,gyerek,NOUN
47,út,NOUN
47,új,ADJ
47,pedig,CONJ
47,le,ADV
47,láb,NOUN
47,hisz,CONJ
47,egymás,PRON
47,bánat,NOUN
46,mintha,SCONJ
46,kő,NOUN
45,tenger,NOUN
44,nincsen,VERB
44,lassú,ADJ
44,jól,ADV
44,gyermek,NOUN
44,fű,NOUN
43,semmi,PRON
43,nehéz,ADJ
43,néha,ADV
43,jár,VERB
43,halál,NOUN
43,érez,VERB
43,azért,ADV
42,ők,PRON
42,jaj,INTJ
42,hallgat,VERB
42,gondol,VERB
42,egy,ADV
41,tesz,VERB
41,sötét,ADJ
41,örök,ADJ
40,sem,ADV
40,ma,ADV
40,kedv,NOUN
39,város,NOUN
39,soha,ADV
39,se,CONJ
39,munka,NOUN
38,szegény,ADJ
38,senki,PRON
38,erő,NOUN
38,dolog,NOUN
38,át,ADV
37,úr,NOUN
37,hogyha,SCONJ
37,fáradt,ADJ
36,vers,NOUN
36,rajta,PRON
36,por,NOUN
36,mell,NOUN
36,mégis,ADV
36,isten,NOUN
36,fehér,ADJ
36,fáj,VERB
36,egy,NUM
35,vet,VERB
35,száj,NOUN
35,mért,ADV
35,hull,VERB
35,hegy,NOUN
35,gond,NOUN
35,dal,NOUN
35,bár,SCONJ
34,után,ADP
34,olyan,PRON
34,hoz,VERB
34,hall,VERB
34,csönd,NOUN
33,marad,VERB
33,madár,NOUN
33,kín,NOUN
33,boldog,ADJ
33,be,ADV
33,ajak,NOUN
33,ág,NOUN
32,zúg,VERB
32,rossz,ADJ
32,öröm,NOUN
32,ölel,VERB
32,néma,ADJ
32,munkás,NOUN
32,meghal,VERB
32,kar,NOUN
32,ilyen,PRON
32,hadd,ADV
32,fal,NOUN
32,ért,VERB
32,erdő,NOUN
32,ahol,ADV
31,száz,NUM
31,milyen,PRON
31,lomb,NOUN
31,láng,NOUN
31,kedves,ADJ
31,hagy,VERB
31,édes,ADJ
30,tovább,ADV
30,mély,ADJ
30,levél,NOUN
30,könny,NOUN
30,éj,NOUN
30,büszke,ADJ
29,visz,VERB
29,táj,NOUN
29,nő,NOUN
29,mező,NOUN
29,kicsi,ADJ
29,iszik,VERB
29,fut,VERB
29,forró,ADJ
28,vén,ADJ
28,üres,ADJ
28,talán,ADV
28,piros,ADJ
28,nép,NOUN
28,mosolyog,VERB
28,magyar,ADJ
28,ily,PRON
28,felhő,NOUN
28,ész,NOUN
